scenario_id,ae,profile,profile_ru,curvature_radius_m,curvature_class,lateral_length_m,tubing_shoe_from_heel_m,shoe_fraction,q_std_m3_day,q_std_th_m3_day,p_heel_mpa,p_avg_lateral_mpa,p_toe_mpa,delta_p_wellbore_kpa,a_coeff,b_coeff,iterations,q_vertical_ref_m3_day,gain_vs_vertical_pct
68,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,200.0,0.18181818181818182,96385.39048769428,96.38539048769428,7.5,7.51491041076888,7.529820821537758,29.820821537758665,694928851470.607,26492269463110.254,7,34749.58533414408,177.37134000556946
69,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,300.0,0.2727272727272727,96407.34018761423,96.40734018761422,7.5,7.514010857822943,7.528021715645887,28.02171564588653,694908505736.0573,26492429022502.86,7,34749.58533414408,177.43450536339716
70,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,400.0,0.36363636363636365,96429.30694985132,96.42930694985132,7.5,7.513110516084157,7.526221032168314,26.221032168314014,694888137440.8191,26492588774419.348,7,34749.58533414408,177.49771982200394
71,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,500.0,0.45454545454545453,96451.29079930663,96.45129079930663,7.5,7.51220938437679,7.5244187687535815,24.41876875358131,694867746543.6237,26492748719236.633,7,34749.58533414408,177.56098345304855
72,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,600.0,0.5454545454545454,96473.26560505186,96.47326560505185,7.5,7.511307455600143,7.522614911200285,22.614911200284986,694847357275.7922,26492908666911.33,6,34749.58533414408,177.62422105871752
73,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,700.0,0.6363636363636364,96495.2876700666,96.49528767006659,7.5,7.510404741717031,7.5208094834340615,20.809483434061775,694826917376.6453,26493069027470.504,6,34749.58533414408,177.6875946639073
74,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,800.0,0.7272727272727273,96517.32658009586,96.51732658009585,7.5,7.509501234119066,7.519002468238132,19.002468238132458,694806455043.2388,26493229579780.66,6,34749.58533414408,177.75101674453745
75,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,900.0,0.8181818181818182,96539.38235781385,96.53938235781385,7.5,7.508596931636825,7.51719386327365,17.193863273649143,694785970236.4343,26493390324202.11,6,34749.58533414408,177.8144873658583
76,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,1000.0,0.9090909090909091,96561.45502593646,96.56145502593647,7.5,7.5076918330984554,7.515383666196911,15.383666196910378,694765462917.001,26493551261096.062,6,34749.58533414408,177.87800659324003
77,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,1100.0,1.0,96583.54460722127,96.58354460722127,7.5,7.506785937329674,7.513571874659348,13.571874659348474,694744933045.6149,26493712390824.637,6,34749.58533414408,177.94157449217292
78,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,0.0,0.0,101559.07906061996,101.55907906061996,7.5,7.520179979968646,7.540359959937294,40.359959937293695,681867615323.1244,23777656872768.348,7,34749.58533414408,192.25983010747046
79,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,100.0,0.08333333333333333,101584.65890312337,101.58465890312337,7.5,7.519187590410295,7.53837518082059,38.375180820589875,681845621559.4878,23777814591203.824,7,34749.58533414408,192.33344204343297
80,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,200.0,0.16666666666666666,101610.26076416728,101.61026076416728,7.5,7.518194237458572,7.5363884749171435,36.38847491714365,681823600814.9224,23777972520109.91,7,34749.58533414408,192.40711734285807
81,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,300.0,0.25,101635.88467934138,101.63588467934139,7.5,7.517199919523427,7.534399839046854,34.399839046854055,681801553034.8123,23778130659942.457,7,34749.58533414408,192.48085610816335
82,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,400.0,0.3333333333333333,101661.5306843192,101.66153068431919,7.5,7.516204635010936,7.532409270021873,32.40927002187288,681779478164.3877,23778289011158.656,7,34749.58533414408,192.55465844200762
83,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,500.0,0.4166666666666667,101687.1988148586,101.68719881485859,7.5,7.515208382323289,7.53041676464658,30.416764646579956,681757376148.7224,23778447574217.113,7,34749.58533414408,192.62852444729253
84,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,600.0,0.5,101712.8891068019,101.7128891068019,7.5,7.514211159858779,7.528422319717558,28.422319717558114,681735246932.7345,23778606349577.793,7,34749.58533414408,192.70245422716263
85,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,700.0,0.5833333333333334,101738.6015960762,101.73860159607621,7.5,7.513212966011784,7.526425932023568,26.425932023568254,681713090461.1847,23778765337702.05,7,34749.58533414408,192.77644788500646
86,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,800.0,0.6666666666666666,101764.33631869366,101.76433631869367,7.5,7.512213799172763,7.524427598345524,24.427598345524192,681690906678.6763,23778924539052.62,7,34749.58533414408,192.85050552445745
87,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,900.0,0.75,101790.06607580594,101.79006607580594,7.5,7.511213651921544,7.52242730384309,22.42730384308935,681668719019.6134,23779083785491.15,6,34749.58533414408,192.9245488745143
88,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,1000.0,0.8333333333333334,101815.84996847293,101.81584996847293,7.5,7.51021253566423,7.520425071328461,20.42507132846098,681646476492.419,23779243443067.336,6,34749.58533414408,192.99874801219917
89,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,1100.0,0.9166666666666666,101841.6557898066,101.8416557898066,7.5,7.5092104413156395,7.518420882631278,18.42088263127815,681624206840.8811,23779403312732.98,6,34749.58533414408,193.07301025471378
90,0.1,flat,плоско-горизонтальный,8.0,малый,1200.0,1200.0,1.0,101867.4835726307,101.8674835726307,7.5,7.5082073672733225,7.516414734546645,16.414734546644894,681601910012.4064,23779563394930.92,6,34749.58533414408,193.1473356965162
91,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,0.0,0.0,106573.45805180255,106.57345805180255,7.5,7.523996314578584,7.547992629157169,47.992629157168864,670228706468.2389,21533364158141.82,8,34749.58533414408,206.6898698992132
92,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,100.0,0.07692307692307693,106602.85741112917,106.60285741112916,7.5,7.522909198540184,7.545818397080367,45.81839708036706,670205098517.0858,21533520094940.426,7,34749.58533414408,206.77447338165456
93,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,200.0,0.15384615384615385,106632.34790272368,106.63234790272368,7.5,7.521820950632741,7.543641901265483,43.641901265482815,670181407906.377,21533676596136.184,7,34749.58533414408,206.85933911835596
94,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,300.0,0.23076923076923078,106661.86631364365,106.66186631364366,7.5,7.5207315412021964,7.541463082404393,41.46308240439268,670157685355.4102,21533833326810.848,7,34749.58533414408,206.94428519939873
95,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,400.0,0.3076923076923077,106691.41269352885,106.69141269352885,7.5,7.519640968140027,7.5392819362800525,39.28193628005251,670133930793.1107,21533990287510.69,7,34749.58533414408,207.02931176763286
96,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,500.0,0.38461538461538464,106720.9870921477,106.7209870921477,7.5,7.518549229332058,7.537098458664118,37.09845866411706,670110144148.182,21534147478783.77,7,34749.58533414408,207.11441896627844
97,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,600.0,0.46153846153846156,106750.5895593978,106.75058955939781,7.5,7.517456322658449,7.5349126453169,34.91264531690013,670086325349.1056,21534304901179.98,7,34749.58533414408,207.19960693892747
98,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,700.0,0.5384615384615384,106780.2201453066,106.7802201453066,7.5,7.516362245993667,7.532724491987334,32.724491987334716,670062474324.1383,21534462555251.01,7,34749.58533414408,207.28487582954548
99,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,800.0,0.6153846153846154,106809.87890003153,106.80987890003153,7.5,7.515266997206466,7.530533994412933,30.53399441293269,670038591001.3137,21534620441550.406,7,34749.58533414408,207.37022578247223
100,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,900.0,0.6923076923076923,106839.5658738606,106.8395658738606,7.5,7.514170574159872,7.528341148319744,28.341148319744462,670014675308.4386,21534778560633.527,7,34749.58533414408,207.4556569424231
101,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,1000.0,0.7692307692307693,106869.28111721294,106.86928111721295,7.5,7.513072974711159,7.526145949422318,26.14594942231859,669990727173.0942,21534936913057.582,7,34749.58533414408,207.5411694544908
102,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,1100.0,0.8461538461538461,106899.02468063908,106.89902468063907,7.5,7.511974196711831,7.523948393423661,23.948393423660942,669966746522.6346,21535095499381.633,7,34749.58533414408,207.62676346414625
103,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,1200.0,0.9230769230769231,106928.76960881644,106.92876960881644,7.5,7.510874232682614,7.521748465365227,21.748465365226924,669942755070.9052,21535254176063.145,6,34749.58533414408,207.71236140119024
104,0.1,flat,плоско-горизонтальный,8.0,малый,1300.0,1300.0,1.0,106958.57510024706,106.95857510024706,7.5,7.509773092561869,7.519546185123737,19.546185123736954,669918705035.3777,21535413259214.4,6,34749.58533414408,207.7981336230571
105,0.1,flat,плоско-горизонтальный,8.0,малый,1400.0,0.0,0.0,111403.05127818686,111.40305127818687,7.5,7.528156355208751,7.556312710417504,56.312710417503766,659793457798.4078,19649616443443.645,8,34749.58533414408,220.58814574896516
106,0.1,flat,плоско-горизонтальный,8.0,малый,1400.0,100.0,0.07142857142857142,111436.5964049455,111.4365964049455,7.5,7.526974489421731,7.553948978843461,53.94897884346056,659768169362.2773,19649771234854.73,8,34749.58533414408,220.68467963976155
107,0.1,flat,плоско-горизонтальный,8.0,малый,1400.0,200.0,0.14285714285714285,111470.1764146511,111.47017641465109,7.5,7.52579124969936,7.5515824993987195,51.582499398719555,659742843597.7854,19649926274581.664,8,34749.58533414408,220.78131391433686
108,0.1,flat,плоско-горизонтальный,8.0,малый,1400.0,300.0,0.21428571428571427,111503.7913779053,111.5037913779053,7.5,7.524606633308263,7.549213266616527,49.21326661652719,659717480412.035,19650081563283.215,8,34749.58533414408,220.87804877586393
109,0.1,flat,плоско-горизонтальный,8.0,малый,1400.0,400.0,0.2857142857142857,111537.37805861297,111.53737805861297,7.5,7.523420611760093,7.546841223520187,46.84122352018696,659692127509.454,19650236808918.29,7,34749.58533414408,220.97470224779664
